ID;VR;PNC01-Drehmoment;PNC03-Drehmoment;PNC05-Drehmoment;PresseSpindel1-Drehmoment;PresseSpindel2-Drehmoment;PNC01-Weg;PNC03-Weg;PNC05-Weg;L1;L2;L3;L4;L5;a1;a2;a3;a4;R1;R2;R3;R4
1;1;5,21;4,48;12,38;82,9;118,5;;;;18,81991412;10,3870306;25,20282179;5,816900453;16,49272007;125,4084397;121,5950801;96,83968837;98,67300796;3,491033712;2,117317526;2,513410555;3,457891665
2;1;5,15;4,45;13,68;83,3;115,1;;;51,03;18,92843393;10,37173669;24,99638518;5,815157613;16,41734597;126,1165529;121,8061251;97,17068702;98,80818257;3,548357617;2,143148413;2,629321743;3,499917885
3;1;5,39;4,46;14,19;83,9;115,6;;;51,03;18,94381035;10,28037631;25,12757575;5,970668288;16,56724522;125,6035145;121,1569217;97,52712938;99,02765259;3,560890239;2,215466768;2,531775951;3,332414783
4;1;5,21;4,58;14,37;84,3;115,9;;;51,03;18,97232482;10,45946084;24,99757629;5,763785282;16,33962496;125,809515;121,6095063;97,0791109;98,50120335;3,485532411;2,090813432;2,63150978;3,526559969
5;1;5,24;4,57;13,64;83;115,7;;;51,03;18,85175762;10,30776784;25,22833952;5,888214844;16,49272024;125,6086344;121,6065226;97,29919601;99,08918216;3,685537287;2,002286131;2,523506349;3,454572262
6;1;5,28;4,54;12,35;83,3;115,9;;;51,03;18,90681606;10,40278223;24,9532295;5,830702493;16,50324273;125,998832;121,7371506;97,62365871;99,04025697;3,510408869;2,20302484;2,589499211;3,539420221
7;1;5,3;4,44;11,4;84,1;116,1;;;51,029;18,74658336;10,41673804;25,20434129;5,83299;16,66950004;125,863699;121,8445376;97,41594219;99,11474151;3,60116891;2,097726812;2,495557838;3,506778301
8;1;5,2;4,44;10,97;84,2;116,8;;34,019;51,029;18,81936911;10,3407914;25,07981903;5,795850191;16,48837708;125,7895437;121,5748315;97,09511483;98,44994257;3,520523246;2,287874272;2,523234697;3,470374599
9;1;5,44;4,55;11,09;84,3;117;;34,019;51,029;18,78429674;10,26884218;25,26650209;5,839058939;16,66258243;125,3427941;121,3252337;97,46884279;98,7169631;3,690235526;2,024715255;2,493654913;3,490570471
10;1;5,19;4,43;11,89;84,7;117,2;;34,019;51,029;18,73984209;10,3778996;25,15061632;5,854565153;16,44295749;125,1697539;121,5095348;97,05136799;98,20263093;3,562672017;2,138011999;2,519059484;3,432981191
11;1;5,25;4,62;11,65;85,1;116,9;;34,019;51,029;18,79682154;10,41522062;25,35793017;5,769179659;16,61725737;125,5845053;121,5991023;96,99112806;97,95378149;3,593932002;2,008001653;2,420604479;3,521709834
12;1;5,27;4,55;11,9;84,7;117,9;;34,02;51,03;18,90992464;10,443149;24,97905423;5,786471982;16,49449484;125,9261432;121,796036;97,41018806;98,77069558;3,545905621;2,160473334;2,647286327;3,448269955
