ID;Coil;Prozessabfolge;Ausklinkungen;Richten
0001;C1A;simultan;aktiviert;deaktiviert
0002;C1A;simultan;aktiviert;deaktiviert
0003;C1A;simultan;aktiviert;deaktiviert
0004;C1A;simultan;aktiviert;deaktiviert
0005;C1A;simultan;aktiviert;deaktiviert
0006;C1A;simultan;aktiviert;deaktiviert
0007;C1A;simultan;aktiviert;deaktiviert
0008;C1A;simultan;aktiviert;deaktiviert
0009;C1A;simultan;aktiviert;deaktiviert
0010;C1A;simultan;aktiviert;deaktiviert
0011;C1A;simultan;aktiviert;deaktiviert
0012;C1A;simultan;aktiviert;deaktiviert
0013;C1A;simultan;aktiviert;deaktiviert
0014;C1A;simultan;aktiviert;deaktiviert
0015;C1A;simultan;aktiviert;deaktiviert
0016;C1A;simultan;aktiviert;deaktiviert
0017;C1A;simultan;aktiviert;deaktiviert
0018;C1A;simultan;aktiviert;deaktiviert
0019;C1A;simultan;aktiviert;deaktiviert
0020;C1A;simultan;aktiviert;deaktiviert
0021;C1A;simultan;aktiviert;deaktiviert
0022;C1A;simultan;aktiviert;deaktiviert
0023;C1A;simultan;aktiviert;deaktiviert
0024;C1A;simultan;aktiviert;deaktiviert
0025;C1A;simultan;aktiviert;deaktiviert
0026;C1A;simultan;aktiviert;aktiviert
0027;C1A;simultan;aktiviert;aktiviert
0028;C1A;simultan;aktiviert;aktiviert
0029;C1A;simultan;aktiviert;aktiviert
0030;C1A;simultan;aktiviert;aktiviert
0031;C1A;simultan;aktiviert;aktiviert
0032;C1A;simultan;aktiviert;aktiviert
0033;C1A;simultan;aktiviert;aktiviert
0034;C1A;simultan;aktiviert;aktiviert
0035;C1A;simultan;aktiviert;aktiviert
0036;C1A;simultan;aktiviert;aktiviert
0037;C1A;simultan;aktiviert;aktiviert
0038;C1A;simultan;aktiviert;aktiviert
0039;C1A;simultan;aktiviert;aktiviert
0040;C1A;simultan;aktiviert;aktiviert
0041;C1A;simultan;aktiviert;aktiviert
0042;C1A;simultan;aktiviert;aktiviert
0043;C1A;simultan;aktiviert;aktiviert
0044;C1A;simultan;aktiviert;aktiviert
0045;C1A;simultan;aktiviert;aktiviert
0046;C1A;simultan;aktiviert;aktiviert
0047;C1A;simultan;aktiviert;aktiviert
0048;C1A;simultan;aktiviert;aktiviert
0049;C1A;simultan;aktiviert;aktiviert
0050;C1A;simultan;aktiviert;aktiviert
0051;C1A;rechts, links;aktiviert;aktiviert
0052;C1A;rechts, links;aktiviert;aktiviert
0053;C1A;rechts, links;aktiviert;aktiviert
0054;C1A;rechts, links;aktiviert;aktiviert
0055;C1A;rechts, links;aktiviert;aktiviert
